last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Anderson, Brian,2020,.228,.425,.312,.322,.197,87.4,9.6,9.6,
Leon, Sandy,2020,.180,.310,.289,.334,.130,84.9,17.9,4.4,
Encarnacion, Edwin,2020,.164,.369,.268,.260,.206,85.4,22.8,13.2,
Cervelli, Francisco,2020,.250,.449,.340,.361,.199,89,13.3,7.7,
Yastrzemski, Mike,2020,.255,.496,.355,.364,.241,88.2,18.4,10.9,
Marte, Ketel,2020,.265,.379,.295,.309,.114,89.2,10,3.7,
Sandoval, Pablo,2020,.237,.349,.281,.308,.112,91.9,8,3.0,
Soler, Jorge,2020,.244,.490,.338,.339,.247,92.5,15.5,18.9,
Mathis, Jeff,2020,.203,.355,.264,.265,.153,89.6,20.6,7.7,
Moore, Dylan,2020,.251,.464,.343,.355,.213,90.4,17.3,13.8,
Calhoun, Willie,2020,.196,.272,.230,.246,.077,89.3,14.4,1.2,
Murphy, Daniel,2020,.239,.345,.259,.278,.107,85.1,15.5,4.9,
Belt, Brandon,2020,.285,.598,.402,.405,.313,90.7,18,16.8,
Wolters, Tony,2020,.262,.344,.281,.310,.082,84.1,8.2,0.0,
Bonifacio, Jorge,2020,.200,.299,.242,.260,.099,82.9,18.3,3.3,
Gurriel Jr., Lourdes,2020,.281,.486,.331,.324,.206,90.8,10.5,11.7,
Farmer, Kyle,2020,.285,.456,.335,.347,.171,89.6,18.2,5.9,
Berti, Jon,2020,.242,.315,.318,.374,.073,86.6,7.2,3.5,
Bader, Harrison,2020,.198,.421,.314,.315,.222,86,15.7,11.9,
Baez, Javier,2020,.215,.378,.265,.254,.163,89.4,10.3,8.1,
Judge, Aaron,2020,.266,.546,.361,.346,.279,92.2,15.7,11.6,
Benintendi, Andrew,2020,.122,.214,.272,.333,.092,85.2,8.6,4.3,
LeMahieu, DJ,2020,.315,.462,.355,.378,.148,91.3,2.3,2.9,
Castro, Jason,2020,.238,.487,.337,.338,.249,92.7,19.7,14.9,
Alonso, Pete,2020,.227,.466,.322,.324,.239,90.2,15.5,12.8,
Ruf, Darin,2020,.251,.457,.336,.349,.206,89.4,12.5,9.4,
Ohtani, Shohei,2020,.235,.426,.322,.332,.191,89.1,9.2,10.7,
Lin, Tzu-Wei,2020,.181,.232,.193,.208,.051,85.5,13.7,2.6,
Crawford, J.P.,2020,.256,.360,.307,.342,.103,85.8,11.5,1.8,
Story, Trevor,2020,.253,.455,.318,.322,.202,89.9,20.8,8.7,
Pujols, Albert,2020,.248,.400,.285,.294,.152,88.6,16.4,5.5,
Heyward, Jason,2020,.288,.455,.371,.413,.167,87.6,11.3,4.5,
Gonzalez, Marwin,2020,.242,.404,.304,.317,.163,89.2,12.6,5.1,
Reyes, Franmil,2020,.251,.447,.332,.332,.196,92.4,11.2,12.9,
Diaz, Aledmys,2020,.276,.394,.283,.288,.118,87.3,10.2,2.2,
Donaldson, Josh,2020,.221,.423,.344,.377,.203,92.8,6.2,6.9,
Villar, Jonathan,2020,.216,.287,.256,.288,.071,86.7,1.6,1.5,
Santana, Domingo,2020,.195,.346,.300,.329,.151,85.5,5.4,6.7,
Harper, Bryce,2020,.307,.657,.435,.451,.350,92.5,16,17.3,
Pham, Tommy,2020,.266,.457,.348,.362,.191,92.8,2.4,7.3,
Lopez, Nicky,2020,.236,.305,.278,.317,.069,84.9,1.4,1.5,
Smoak, Justin,2020,.191,.330,.250,.263,.140,89.6,15.3,3.8,
Semien, Marcus,2020,.204,.348,.274,.289,.143,86.2,19.3,5.0,
Polanco, Jorge,2020,.264,.384,.293,.309,.120,86.6,16.1,2.8,
Olivares, Edward,2020,.259,.366,.278,.286,.108,82.7,7.6,5.6,
Lux, Gavin,2020,.199,.339,.261,.269,.140,87.1,13.9,6.8,
Garcia, Greg,2020,.185,.220,.229,.267,.035,83.4,11.1,0.0,
Hiura, Keston,2020,.210,.434,.304,.300,.224,87.4,14.3,14.2,
Cron, C.J.,2020,.198,.487,.348,.352,.290,85.5,20.6,19.2,
Suzuki, Kurt,2020,.249,.356,.301,.335,.108,83.9,18,3.2,
Shaw, Travis,2020,.242,.439,.310,.310,.196,90.9,19.8,7.9,
Santander, Anthony,2020,.286,.510,.338,.338,.225,88.6,24.7,10.2,
Carlson, Dylan,2020,.246,.443,.303,.294,.197,87.4,9.3,9.2,
Chisholm, Jazz,2020,.174,.340,.254,.254,.165,87.1,15.6,10.8,
Rosario, Amed,2020,.233,.341,.256,.254,.108,86.5,4.2,3.7,
Peraza, Jose,2020,.240,.361,.279,.292,.121,85.4,20,4.3,
Robert, Luis,2020,.226,.466,.315,.300,.240,87.9,16.7,13.0,
Senzel, Nick,2020,.234,.387,.284,.293,.153,88.3,16.3,3.6,
Acuna Jr., Ronald,2020,.254,.590,.401,.409,.336,92.4,18.6,16.0,
Hedges, Austin,2020,.207,.331,.270,.288,.125,90.2,18.6,7.7,
Davis, J.D.,2020,.258,.430,.348,.381,.171,90.1,3.3,8.9,
Moustakas, Mike,2020,.242,.436,.322,.342,.194,88.8,16.3,9.5,
Cooper, Garrett,2020,.304,.521,.368,.372,.217,90.1,9.5,10.1,
McNeil, Jeff,2020,.278,.410,.325,.357,.131,86.6,11.5,2.5,
Galvis, Freddy,2020,.221,.361,.290,.310,.140,87,13.6,4.5,
Peralta, David,2020,.263,.375,.292,.306,.113,89.2,6.4,5.0,
Fowler, Dexter,2020,.215,.351,.281,.301,.136,84.5,11.2,4.8,
Murphy, John Ryan,2020,.213,.317,.247,.264,.104,83,7.3,9.7,
Eaton, Adam,2020,.248,.385,.291,.305,.137,87.8,5.7,4.6,
Dyson, Jarrod,2020,.207,.240,.229,.256,.033,82.7,5.7,0.0,
Frazier, Adam,2020,.253,.380,.299,.318,.127,85.5,12.3,4.0,
Jeffers, Ryan,2020,.238,.460,.328,.325,.222,91.6,10.3,13.9,
Cave, Jake,2020,.213,.331,.264,.277,.118,87.4,8.5,4.3,
Gomes, Yan,2020,.284,.464,.323,.323,.181,89.9,17.6,5.6,
Andrus, Elvis,2020,.233,.390,.286,.288,.158,88.5,9.2,5.7,
Schwarber, Kyle,2020,.225,.444,.330,.340,.219,92.8,8.8,11.2,
Ramos, Wilson,2020,.248,.420,.303,.307,.171,89,6.5,7.1,
Escobar, Eduardo,2020,.263,.395,.294,.318,.132,88.6,18.1,5.5,
Nimmo, Brandon,2020,.251,.424,.349,.382,.173,87.2,7.6,7.7,
Myers, Wil,2020,.285,.588,.377,.351,.303,91,13.4,14.8,
Toro, Abraham,2020,.219,.325,.276,.300,.105,86.1,7.6,3.1,
Taylor, Chris,2020,.268,.481,.354,.365,.213,88,9.1,11.5,
Lindor, Francisco,2020,.278,.441,.333,.355,.162,89.9,13.5,5.6,
Fletcher, David,2020,.292,.350,.311,.351,.058,84.7,4.1,0.5,
Carpenter, Matt,2020,.215,.408,.323,.350,.193,88.2,17,9.8,
Flowers, Tyler,2020,.192,.328,.275,.303,.136,93,16.2,8.6,
Brantley, Michael,2020,.262,.415,.314,.329,.153,88.7,10.2,4.9,
Muncy, Max,2020,.235,.481,.352,.367,.246,88.5,14.2,12.4,
Realmuto, J.T.,2020,.248,.499,.344,.333,.251,90.2,11.6,13.6,
Casali, Curt,2020,.188,.352,.302,.336,.164,88.6,22.1,6.4,
Gordon, Alex,2020,.227,.348,.289,.316,.121,82.8,11.6,3.2,
Zimmer, Bradley,2020,.128,.206,.277,.339,.078,84.1,16.4,4.2,
